32411525,HESS    138 KV  T1,Ohio Power Company 
32411527,HESS    138 KV  T2,Ohio Power Company 
32411529,HESS    138 KV  T3,Ohio Power Company 
32411531,HESS    138 KV  T4,Ohio Power Company 
32411543,HIGHLACS69 KV   DUCKWALL,Ohio Power Company 
32411545,HIGHLACS69 KV   T1,Ohio Power Company 
32411547,HIGHLACS69 KV   T2,Ohio Power Company 
32411559,HILLVIEW138 KV  T1,Ohio Power Company 
32411585,HOLTSW  69 KV   CARROLCO,Ohio Power Company 
32411621,HUNTLEY2138 KV  T1,Ohio Power Company 
32411623,HUNTLEY2138 KV  T3,Ohio Power Company 
32411625,HUNTLEY2138 KV  T4,Ohio Power Company 
32411627,HUNTLEY2138 KV  T5,Ohio Power Company 
32411631,HWBUCKHO138 KV  T1,Ohio Power Company 
32411731,KARL    138 KV  T1,Ohio Power Company 
32411733,KARL    138 KV  T2,Ohio Power Company 
32411735,KARL    138 KV  T3,Ohio Power Company 
32411739,KENNY   138 KV  T1,Ohio Power Company 
32411741,KENNY   138 KV  T2,Ohio Power Company 
32411759,KIRK    138 KV  T1,Ohio Power Company 
32411761,KIRK    138 KV  T2,Ohio Power Company 
32411767,KOTCOAL 69 KV   T1,Ohio Power Company 
32411797,LATTAVIL69 KV   T1,Ohio Power Company 
32411815,LICK    138 KV  T1,Ohio Power Company 
32411817,LICK    138 KV  T2,Ohio Power Company 
32411819,LICK    138 KV  T3,Ohio Power Company 
32411835,LINWORTH138 KV  T2,Ohio Power Company 
32411837,LINWORTH138 KV  T3,Ohio Power Company 
32411853,LRBLADEN138 KV  T1,Ohio Power Company 
32411855,LSII    138 KV  T1,Ohio Power Company 
32411857,LSII    138 KV  T2,Ohio Power Company 
32411859,LUCENT  138 KV  TA,Ohio Power Company 
32411861,LUCENT  138 KV  TB,Ohio Power Company 
32411865,LYNNST  138 KV  T1,Ohio Power Company 
32411875,MALVERN 138 KV  T1,Ohio Power Company 
32411877,MALVERN 138 KV  T3,Ohio Power Company 
32411883,MARION2 138 KV  T4,Ohio Power Company 
32411885,MARION2 138 KV  T5,Ohio Power Company 
32411887,MARION2 138 KV  T6,Ohio Power Company 
32411907,MCCOMB  138 KV  T1,Ohio Power Company 
32411909,MCCOMB  138 KV  T2,Ohio Power Company 
32411943,MEIGS1  138 KV  T1,Ohio Power Company 
32411945,MEIGS2  138 KV  T1,Ohio Power Company 
32411947,MEIGS31 138 KV  T1,Ohio Power Company 
32411949,MEIGS31 138 KV  T2,Ohio Power Company 
32411951,MEIGSCS 69 KV   T1,Ohio Power Company 
32411955,MERCERBU138 KV  T1,Ohio Power Company 
32411967,MIFFLIN 138 KV  T1,Ohio Power Company 
32411969,MIFFLIN 138 KV  T2,Ohio Power Company 
32411971,MILESAVE138 KV  T1,Ohio Power Company 
32411973,MILLBROO138 KV  T6,Ohio Power Company 
32411975,MILLBROO69 KV   ASHLEY,Ohio Power Company 
32411977,MILLBROO69 KV   SILOAM,Ohio Power Company 
32411979,MILLBROO34 KV   NBOSTONC,Ohio Power Company 
32411981,MILLBROO34 KV   NWSW,Ohio Power Company 
32411983,MILLBROO34 KV   OFFNERE,Ohio Power Company 
32411985,MILLBROO34 KV   SCIOTOTR,Ohio Power Company 
32411987,MILLBROO34 KV   T3,Ohio Power Company 
32411989,MILLERSP138 KV  T1,Ohio Power Company 
32411993,MILLSPRI138 KV  T1,Ohio Power Company 
32411995,MILLWOO2138 KV  T1,Ohio Power Company 
32412027,MORSE   138 KV  T1,Ohio Power Company 
32412029,MORSE   138 KV  T2,Ohio Power Company 
32412035,MOUND   138 KV  T1,Ohio Power Company 
32412037,MOUND   138 KV  T2,Ohio Power Company 
32412049,MULBERRY138 KV  T1,Ohio Power Company 
32412051,MULBERRY138 KV  T2,Ohio Power Company 
32412061,MUSKING2138 KV  GLOBEMET,Ohio Power Company 
32412063,MWBLOOMF138 KV  T1,Ohio Power Company 
32412065,MWROCKPO138 KV  T1,Ohio Power Company 
32412083,NCROWNCI138 KV  T1,Ohio Power Company 
32412085,NDELPHOS138 KV  T1,Ohio Power Company 
32412087,NECANTON138 KV  T1,Ohio Power Company 
32412089,NEFINDLA138 KV  T1,Ohio Power Company 
32412091,NEWARKCE138 KV  T1,Ohio Power Company 
32412111,NEWLIBER138 KV  T1,Ohio Power Company 
32412113,NEWLIBER138 KV  T2,Ohio Power Company 
32412115,NEWLIBER138 KV  T3,Ohio Power Company 
32412119,NEWMARK269 KV   T1,Ohio Power Company 
32412121,NFAIRFIE138 KV  T1T2,Ohio Power Company 
32412123,NFINDLAY138 KV  T1,Ohio Power Company 
32412125,NFINDLAY138 KV  T2,Ohio Power Company 
32412127,NHAVERHI69 KV   ARISTEC1,Ohio Power Company 
32412129,NHAVERHI69 KV   ARISTEC2,Ohio Power Company 
32412141,NLEXINGT138 KV  T1,Ohio Power Company 
32412143,NMUSKING138 KV  T1,Ohio Power Company 
32412145,NNEWARK 138 KV  T1,Ohio Power Company 
32412147,NNEWARK 138 KV  T2,Ohio Power Company 
32412159,NPORTSMO138 KV  T1,Ohio Power Company 
32412161,NSTRASBU138 KV  T1,Ohio Power Company 
32412163,NWALDO  138 KV  T1,Ohio Power Company 
32412165,NWELLSVL69 KV   T1,Ohio Power Company 
32412167,NWLI&MA  138 KV  T1,Ohio Power Company 
32412169,NWOODCOC138 KV  T1,Ohio Power Company 
32412171,NZANESVI138 KV  T1,Ohio Power Company 
32412195,ORDNANCE138 KV  T1,Ohio Power Company 
32412197,ORDNANCE138 KV  T2,Ohio Power Company 
32412199,ORDNANCE138 KV  T3,Ohio Power Company 
32412215,OSU     138 KV  T1,Ohio Power Company 
32412217,OSU     138 KV  T2,Ohio Power Company 
32412225,PANHANDL69 KV   T1,Ohio Power Company 
32412229,PATRIOT 138 KV  T1,Ohio Power Company 
32412243,PETERSCS69 KV   T1,Ohio Power Company 
32412247,PICKERI2138 KV  T1,Ohio Power Company 
32412281,POLARIS 138 KV  T1,Ohio Power Company 
32412285,POSTON  138 KV  T1,Ohio Power Company 
32412287,POSTON  138 KV  T2,Ohio Power Company 
32412289,POWELSON138 KV  T1,Ohio Power Company 
32412291,PPBASELN138 KV  T1,Ohio Power Company 
32412301,PROMWAY 138 KV  T1,Ohio Power Company 
32412303,PROMWAY 138 KV  T2,Ohio Power Company 
32412317,RAVEN   69 KV   T1,Ohio Power Company 
32412327,REEDURBA138 KV  T1,Ohio Power Company 
32412329,REEDURBA138 KV  T2,Ohio Power Company 
